ID	RESPONSABLE	EQUIPO 1	EQUIPO 2	EQUIPO 3	EQUIPO 4	EQUIPO 5	EQUIPO 6	EQUIPO 7	EQUIPO 8	EQUIPO 9	EQUIPO 10	EQUIPO 11	EQUIPO 12	INTEGRANTES	FINANCIAMIENTO	MONTO FINANCIAMIENTO	A. INICIO	A. TERMINO	DURACION	PROYECTO EARQ UC	NOMBRE PROYECTO	RESENA	REDIRECT	URL	REFERENCIA IMAGEN	CLUSTER	PUBLICACIONES	TESIS	TEMA 1	TEMA 2	TEMA 3	PONDERACION
0	0.Alonso, Pedro													1	Fondecyt de Iniciación - CONICYT	$53.460.000	2013	2017	4	SI	El espacio visto desde Chile: episodios de la Guerra Fría en la cultura científica y tecnológica de observación del cielo (1955-1969)	El objetivo es ampliar el conocimiento sobre la historia del desarrollo tecnológico en Chile, vinculada a la recepción y difusión de tecnología e infraestructura estadounidense y soviética entre el año 1955 y la llegada a la luna en 1969, considerando la relevancia estratégico/científica de Chile para EE.UU. y la URSS.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	2_Alonso.png	NO	0	1	TEORÍA E HISTORIA DE LA ARQUITECTURA	PAISAJE Y TERRITORIO		0,37
1	0.Bustamante, Waldo	0.Encinas, Felipe	1.Vera, Sergio (Ingeniería UC)											3	Fondecyt Regular - CONICYT	$176.550.000	2014	2018	4	SI	Modelo para el diseño arquitectónico de sistemas de fachadas vidriadas complejas, energética y lumínicamente optimizadas	El proyecto desarrolla un modelo de acoplamiento validado experimentalmente, que representa y calcula la transmisión solar y lumínica a través de fachadas complejas, para determinar simultáneamente el desempeño térmico y lumínico del edificio. Usando el modelo, se aplica una metodología de optimización para diseño de fachadas de edificios de oficina.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	11	3	MATERIALES, SISTEMAS Y COMPONENTES	CONSTRUCCIÓN SUSTENTABLE	REPRESENTACIÓN ARQUITECTÓNICA	0,72
2	1.Vera, Sergio (Ingeniería UC)	0.Bustamante, Waldo												2	Fondecyt Regular - CONICYT	$0	2015	2018	3	NO	Modelling heat and mass transfer through green roofs and living walls for the assessment of their influence on the energy consumption of industrial buildings in semiarid climates	El objetivo es desarrollar un modelo validado de transferencia de calor y humedad para techos y muros verdes de edificios. Será utilizado para un estudio paramétrico que entregue información sobre los principales parámetros de techos y muros verdes que influencian el consumo de energía de edificios industriales en climas semiáridos. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	4_Vera.png	NO	0	0	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES		0,26
3	1.Vera, Sergio (Ingeniería UC)	0.Bustamante, Waldo	1.Gironás, Jorge (Ingeniería UC)	1.Jorquera, Héctor (Ingeniería UC)	1.Leiva, Eduardo (Química UC)									5	Fondef IDeA en Dos Etapas Precompetitivo - CONICYT	$149.997.000	2016	2017	1	NO	Desarrollo de cubiertas vegetales de edificios para la mitigación de la contaminación atmosférica urbana a través de la captura de material particulado en clima semiárido		http://fadeu.uc.cl/	http://fadeu.uc.cl/	4_Vera.png	NO	2	1	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES		0,30
4	0.Bustamante, Waldo	1.Vera, Sergio (Ingeniería UC)												2	Concurso de Investigación Interdisciplinaria - VRI UC		2016	2017	2	SI	Potencial y optmización de edificios residenciales cero energía neta (ERCEN) de mediana altura en Chile		http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	NO	0	0	CONSTRUCCIÓN SUSTENTABLE	MATERIALES, SISTEMAS Y COMPONENTES	VIVIENDA Y HABITABILIDAD	0,18
5	0.Celedón, Alejandra													1	Concurso Nacional de Inserción de Capital Humano Avanzado en la Academia - CONICYT	$0	2016	2018	2	SI	Economía Política y Retóricas de Vivienda: estrategias arquitectónicas y políticas urbanas para la vivienda en la década del ochenta en Chile	Chile no ha tenido una verdadera política de vivienda, las estrategias y retóricas adoptadas han sido una respuesta a la ideología económica del momento. Esta investigación pretende ofrecer un registro histórico donde esta hipótesis pueda ponerse a prueba, utilizando la década de los ochenta como territorio (o laboratorio) de prueba.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	ESTADO DE EXCEPCIÓN	0	0	TEORÍA E HISTORIA DE LA ARQUITECTURA	POLÍTICAS PÚBLICAS	VIVIENDA Y HABITABILIDAD	0,17
6	0.Encinas, Felipe													1	Fondecyt de Iniciación - CONICYT	$71.407.000	2013	2017	4	SI	Análisis y posicionamiento de los atributos de eficiencia energética y sostenibilidad en el mercado inmobiliario residencial de Santiago ¿Cuánto le importan realmente a usuarios y desarrolladores?	La hipótesis de este proyecto plantea que se podría obtener mejoras significativas en el desempeño energético y ambiental de viviendas del mercado inmobiliario en la medida que, tanto la oferta como la demanda, puedan avanzar paralelamente en el posicionamiento efectivo de los atributos de eficiencia energética y sostenibilidad. 	http://fadeu.uc.cl/	http://fadeu.uc.cl/	8_Encinas.png	NO	6	2	CONSTRUCCIÓN SUSTENTABLE	VIVIENDA Y HABITABILIDAD		0,51
7	0.Forray, Rosanna	0.Figueroa, Cristhian												2	Institut pour la ville en mouvement		2014	2016	2	SI	Passages: espaces transitionnels du XXIème siècle	"Se estudian las múltiples formas en que las barreras espaciales heredadas del urbanismo funcionalista se presentan como un obstáculo a la movilidad cotidiana en el espacio urbano contemporáneo; se propone el concepto de ""pasaje"" y ""espacio de transición"" como hilo conductor para explorar modos de rearticulación de la ciudad fragmentada."	http://fadeu.uc.cl/	http://fadeu.uc.cl/	9_Forray.png	LA CALLE COMO PROYECTO	3	0	ESPACIO PÚBLICO	MOVILIDAD E INFRAESTRUCTURA	MORFOLOGÍA URBANA	0,24
8	0.Forray, Rosanna	2.Tyler, Nick  (UCL Reino Unido)												2	Newton-Picarte	$20.340.000	2016	2016	1	SI	Transitions between public transport and public space: designing bus stops and transfer stations from pedestrians comfort perspective	En este proyecto la Escuela de Arquitectura UC trabajará en conjunto con Municipalidades de la Región Metropolitana (Santiago, San Miguel, La Cisterna, El Bosque, San Bernardo), la Asociación de Municipios Ciudad Sur, y la Dirección de Transporte Público Metropolitano DTPM.	http://fadeu.uc.cl/	http://fadeu.uc.cl/	empty.png	LA CALLE COMO PROYECTO	1	1	ESPACIO PÚBLICO	MOVILIDAD E INFRAESTRUCTURA	MORFOLOGÍA URBANA	0,16
9	0.Garcés, Eugenio													1	Licitación Ministerio de Obras Públicas	$0	2014	2016	2	SI	Diseño: restauración nueve ascensores de Valparaíso	La licitación “Diseño: restauración nueve ascensores de Valparaíso”, llamada por MOP en 2014, considera la restauración de los ascensores: Concepción (1883), Cordillera (1887), Artillería (1893) Espíritu Santo (1911), Mariposas (1904), Florida (1906), Villaseca (1907), Larraín (1909) Monjas (1912).	http://fadeu.uc.cl/	http://fadeu.uc.cl/	11_Garces.png	NO	1	0	PATRIMONIO ARQUITECTÓNICO	MOVILIDAD E INFRAESTRUCTURA	MORFOLOGÍA URBANA	0,19
